,Price,Name,Ratings,Beds
177,110.0,Apartment in Lorton,4.7315,3 beds
178,159.0,Apartment in Alexandria,5.015,1 bed
179,91.0,Condo in Alexandria,5.04,2 beds
180,115.0,Condo in Alexandria,4.2,2 beds
181,79.0,Home in Springfield,4.2,2 beds
182,81.0,Townhouse in Alexandria,4.9146,1 queen bed
183,121.0,Hotel room in Springfield,4.754,2 beds
184,86.0,Guest suite in Springfield,4.8425,1 bed
185,68.0,Private room in Annandale,4.9738,1 queen bed
186,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
187,60.0,Townhouse in Springfield,4.7572,1 queen bed
188,94.0,Guest suite in Springfield,4.973,1 bed
189,95.0,Home in Alexandria,4.2,1 bed
190,194.0,Apartment in Alexandria,4.9433,2 beds
191,90.0,Home in Alexandria,4.86195,1 bed
192,65.0,Private room in Springfield,4.9765,1 bed
193,78.0,Private room in Alexandria,4.8335,1 queen bed
194,85.0,Townhouse in West Springfield,4.836,1 queen bed
195,71.0,Home in Alexandria,4.03,2 beds
196,112.0,Apartment in Springfield,5.01,4 beds
197,110.0,Apartment in Lorton,4.7315,3 beds
198,159.0,Apartment in Alexandria,5.015,1 bed
199,91.0,Condo in Alexandria,5.04,2 beds
200,115.0,Condo in Alexandria,4.2,2 beds
201,79.0,Home in Springfield,4.2,2 beds
202,81.0,Townhouse in Alexandria,4.9146,1 queen bed
203,121.0,Hotel room in Springfield,4.754,2 beds
204,86.0,Guest suite in Springfield,4.8425,1 bed
205,68.0,Private room in Annandale,4.9738,1 queen bed
206,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
207,60.0,Townhouse in Springfield,4.7572,1 queen bed
208,94.0,Guest suite in Springfield,4.973,1 bed
209,95.0,Home in Alexandria,4.2,1 bed
210,194.0,Apartment in Alexandria,4.9433,2 beds
211,90.0,Home in Alexandria,4.86195,1 bed
212,65.0,Private room in Springfield,4.9765,1 bed
213,78.0,Private room in Alexandria,4.8335,1 queen bed
214,85.0,Townhouse in West Springfield,4.836,1 queen bed
215,71.0,Home in Alexandria,4.03,2 beds
216,112.0,Apartment in Springfield,5.01,4 beds
217,110.0,Apartment in Lorton,4.7315,3 beds
218,159.0,Apartment in Alexandria,5.015,1 bed
219,91.0,Condo in Alexandria,5.04,2 beds
220,115.0,Condo in Alexandria,4.2,2 beds
221,79.0,Home in Springfield,4.2,2 beds
222,81.0,Townhouse in Alexandria,4.9146,1 queen bed
223,121.0,Hotel room in Springfield,4.754,2 beds
224,86.0,Guest suite in Springfield,4.8425,1 bed
225,68.0,Private room in Annandale,4.9738,1 queen bed
226,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
227,60.0,Townhouse in Springfield,4.7572,1 queen bed
228,94.0,Guest suite in Springfield,4.973,1 bed
229,95.0,Home in Alexandria,4.2,1 bed
230,194.0,Apartment in Alexandria,4.9433,2 beds
231,90.0,Home in Alexandria,4.86195,1 bed
232,65.0,Private room in Springfield,4.9765,1 bed
233,78.0,Private room in Alexandria,4.8335,1 queen bed
234,85.0,Townhouse in West Springfield,4.836,1 queen bed
235,71.0,Home in Alexandria,4.03,2 beds
236,112.0,Apartment in Springfield,5.01,4 beds
237,110.0,Apartment in Lorton,4.7315,3 beds
238,159.0,Apartment in Alexandria,5.015,1 bed
239,91.0,Condo in Alexandria,5.04,2 beds
240,115.0,Condo in Alexandria,4.2,2 beds
241,79.0,Home in Springfield,4.2,2 beds
242,81.0,Townhouse in Alexandria,4.9146,1 queen bed
243,121.0,Hotel room in Springfield,4.754,2 beds
244,86.0,Guest suite in Springfield,4.8425,1 bed
245,68.0,Private room in Annandale,4.9738,1 queen bed
246,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
247,60.0,Townhouse in Springfield,4.7572,1 queen bed
248,94.0,Guest suite in Springfield,4.973,1 bed
249,95.0,Home in Alexandria,4.2,1 bed
250,194.0,Apartment in Alexandria,4.9433,2 beds
251,90.0,Home in Alexandria,4.86195,1 bed
252,65.0,Private room in Springfield,4.9765,1 bed
253,78.0,Private room in Alexandria,4.8335,1 queen bed
254,85.0,Townhouse in West Springfield,4.836,1 queen bed
255,71.0,Home in Alexandria,4.03,2 beds
256,112.0,Apartment in Springfield,5.01,4 beds
257,110.0,Apartment in Lorton,4.7315,3 beds
258,159.0,Apartment in Alexandria,5.015,1 bed
259,91.0,Condo in Alexandria,5.04,2 beds
260,115.0,Condo in Alexandria,4.2,2 beds
261,79.0,Home in Springfield,4.2,2 beds
262,81.0,Townhouse in Alexandria,4.9146,1 queen bed
263,121.0,Hotel room in Springfield,4.754,2 beds
264,86.0,Guest suite in Springfield,4.8425,1 bed
265,68.0,Private room in Annandale,4.9738,1 queen bed
266,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
267,60.0,Townhouse in Springfield,4.7572,1 queen bed
268,94.0,Guest suite in Springfield,4.973,1 bed
269,95.0,Home in Alexandria,4.2,1 bed
270,194.0,Apartment in Alexandria,4.9433,2 beds
271,90.0,Home in Alexandria,4.86195,1 bed
272,65.0,Private room in Springfield,4.9765,1 bed
273,78.0,Private room in Alexandria,4.8335,1 queen bed
274,85.0,Townhouse in West Springfield,4.836,1 queen bed
275,71.0,Home in Alexandria,4.03,2 beds
276,112.0,Apartment in Springfield,5.01,4 beds
277,110.0,Apartment in Lorton,4.7315,3 beds
278,159.0,Apartment in Alexandria,5.015,1 bed
279,91.0,Condo in Alexandria,5.04,2 beds
280,115.0,Condo in Alexandria,4.2,2 beds
281,79.0,Home in Springfield,4.2,2 beds
282,81.0,Townhouse in Alexandria,4.9146,1 queen bed
283,121.0,Hotel room in Springfield,4.754,2 beds
284,86.0,Guest suite in Springfield,4.8425,1 bed
285,68.0,Private room in Annandale,4.9738,1 queen bed
286,108.0,Guesthouse in Alexandria,4.9685,1 queen bed
287,60.0,Townhouse in Springfield,4.7572,1 queen bed
288,94.0,Guest suite in Springfield,4.973,1 bed
289,95.0,Home in Alexandria,4.2,1 bed
290,194.0,Apartment in Alexandria,4.9433,2 beds
291,90.0,Home in Alexandria,4.86195,1 bed
292,65.0,Private room in Springfield,4.9765,1 bed
293,78.0,Private room in Alexandria,4.8335,1 queen bed
294,85.0,Townhouse in West Springfield,4.836,1 queen bed
295,71.0,Home in Alexandria,4.03,2 beds
296,112.0,Apartment in Springfield,5.01,4 beds
297,110.0,Apartment in Lorton,4.7315,3 beds
298,159.0,Apartment in Alexandria,5.015,1 bed
299,91.0,Condo in Alexandria,5.04,2 beds
